,acc,recall,precision,f1
0,0.5827890895121014,0.5827890895121014,0.5176681001766895,0.522850255394506
1,0.5791394544756051,0.5791394544756051,0.47137170985224863,0.4847764384422492
2,0.5158935945452799,0.5158935945452799,0.47118656628606775,0.4873564579962174
3,0.5762028233938347,0.5762028233938347,0.5533436982905797,0.5425084317037636
4,0.5282312271941617,0.5282312271941617,0.4956250402264512,0.501440339290271
5,0.6108123679661993,0.6108123679661993,0.47927832562552636,0.5122900695693656
6,0.5553101594008066,0.5553101594008066,0.3941149425053154,0.46067840776229213
7,0.5551608257321171,0.5551608257321171,0.48299280458074517,0.5155352080284467
8,0.5709485407066052,0.5709485407066052,0.46445616857581656,0.48786662851916923
9,0.5459869431643625,0.5459869431643625,0.47645705873539673,0.5010480402098184
average,0.5620475026091074,0.5620475026091074,0.48064944148548366,0.50163502769161
std,0.026465912640573082,0.026465912640573082,0.038509889530335385,0.02186996009723904
