,acc,recall,precision,f1
0,0.5836205481700312,0.5836205481700312,0.47091386778768785,0.5127779372425835
1,0.6121779090759888,0.6121779090759888,0.4995205389252029,0.5156247276926016
2,0.6299638989169675,0.6299638989169675,0.4773670015754652,0.5324355689835668
3,0.5915654742369544,0.5915654742369544,0.42673136292391334,0.4956815297625493
4,0.5808992451591729,0.5808992451591729,0.4431459533244602,0.49054202345077175
5,0.5907449950771251,0.5907449950771251,0.42572068020573245,0.4947763329451831
6,0.6030521824745652,0.6030521824745652,0.4373693559830538,0.5062932997196756
7,0.49868723334427306,0.49868723334427306,0.5642548218922905,0.43017972110082325
8,0.567279291106006,0.567279291106006,0.48939893847109817,0.5140015528459372
9,0.6082034454470878,0.6082034454470878,0.49139585291289867,0.541021476159804
average,0.5866194223008172,0.5866194223008172,0.4725818374001802,0.5033334169903496
std,0.03384847639682596,0.03384847639682596,0.04024514367556923,0.028769825166413635
