,acc,recall,precision,f1
0,0.5414409978664041,0.5414409978664041,0.5189459883002244,0.5121357429022788
1,0.6111931724930247,0.6111931724930247,0.5022870569964268,0.5214978025049872
2,0.629307515589104,0.629307515589104,0.47421004087205665,0.531721753928423
3,0.5915654742369544,0.5915654742369544,0.5371079650155435,0.5476814620279188
4,0.49622579586478505,0.49622579586478505,0.5317576870643832,0.4560850125725241
5,0.5772891368559239,0.5772891368559239,0.5624614428486495,0.5541135550647294
6,0.5093534624220545,0.5093534624220545,0.5385905188792219,0.5204453165096595
7,0.5237938956350509,0.5237938956350509,0.5565723315004117,0.49920746425124546
8,0.4368231046931408,0.4368231046931408,0.5655539813371918,0.41208787081347137
9,0.5589827727645611,0.5589827727645611,0.5820708387821164,0.5680668185236574
average,0.5475975328421003,0.5475975328421003,0.5369557851596226,0.5123042799098896
std,0.05535564637136268,0.05535564637136268,0.03062938133701465,0.044735161232942154
