,acc,recall,precision,f1
0,0.7159034958148696,0.7159034958148696,0.7161252761329532,0.7148072346204323
1,0.7076973576235024,0.7076973576235024,0.7073945520737013,0.7065773237403922
2,0.7090580899245159,0.7090580899245159,0.709112326404198,0.707928062299055
3,0.7139809648834919,0.7139809648834919,0.7141657284240278,0.713118731103506
4,0.7159501148670824,0.7159501148670824,0.7159555862393864,0.7151358017658606
5,0.705119789957335,0.705119789957335,0.7052417990953437,0.7040794297126991
6,0.7121759107318674,0.7121759107318674,0.7121475467917495,0.7113515786223186
7,0.7131604857236626,0.7131604857236626,0.7115958205272871,0.7113848325253667
8,0.7085658024286183,0.7085658024286183,0.7084007376861101,0.7074620259352081
9,0.7163248564397047,0.7163248564397047,0.7161493801395413,0.7150038982534415
average,0.7117936868394651,0.7117936868394651,0.7116288753514297,0.710684891857828
std,0.003751264881804317,0.003751264881804317,0.0037624044830823233,0.0037524299689988484
