,acc,recall,precision,f1
0,0.6189973107952362,0.6189973107952362,0.6493630032997239,0.5450642917722809
1,0.6195735689588936,0.6195735689588936,0.5880297416841043,0.5478808792587723
2,0.6174973590703928,0.6174973590703928,0.6137284208925174,0.5429170411566308
3,0.6183616633054835,0.6183616633054835,0.6063556159389805,0.5436592923927841
4,0.6159976954100249,0.6159976954100249,0.5933725520163086,0.5434154046141542
5,0.6184943345496448,0.6184943345496448,0.5397920729330289,0.544480044188374
6,0.6134050316881121,0.6134050316881121,0.5894612457912014,0.5379699639256972
7,0.6193951032165147,0.6193951032165147,0.5957351020945979,0.5465163534850641
8,0.6187596006144394,0.6187596006144394,0.5816066084629056,0.5453745519833096
9,0.6197196620583717,0.6197196620583717,0.5806378619598793,0.547144507402839
average,0.6180201329667112,0.6180201329667112,0.5938082225073249,0.5444422330179906
std,0.0018627402061560513,0.0018627402061560513,0.026337913684482527,0.002656501571130924
