,acc,recall,precision,f1
0,0.6971763349980792,0.6971763349980792,0.69490958205967,0.6946349833274483
1,0.6968882059162504,0.6968882059162504,0.6952698068688073,0.6948783834584573
2,0.6978776529338327,0.6978776529338327,0.696381791376888,0.6958333321258611
3,0.6944204359934697,0.6944204359934697,0.6925673605492179,0.6919513177544079
4,0.6981947378528903,0.6981947378528903,0.6964493212026893,0.6958030334487662
5,0.6956980987132706,0.6956980987132706,0.6936858675993777,0.6935116607415068
6,0.6937776070674092,0.6937776070674092,0.6924427942199661,0.6916254918727384
7,0.6936149783965434,0.6936149783965434,0.6922592083446184,0.6916827414844013
8,0.6983486943164362,0.6983486943164362,0.6963992692982094,0.6960254013215017
9,0.700652841781874,0.700652841781874,0.6993275893292664,0.698841632343071
average,0.6966649587970057,0.6966649587970057,0.6949692590848711,0.694478797787816
std,0.0021557424107650027,0.0021557424107650027,0.002155534815417592,0.0022018521457873906
