,acc,recall,precision,f1
0,0.5113049095607235,0.5113049095607235,0.545945335730194,0.5034464469547903
1,0.5951227390180879,0.5951227390180879,0.4983198800015468,0.5153100301501187
2,0.596964314548684,0.596964314548684,0.5761069769778113,0.5537762608843317
3,0.5930889714193445,0.5930889714193445,0.5649357501932507,0.4894887330049506
4,0.500645786244753,0.500645786244753,0.4654591620620018,0.47863377951946495
5,0.5815305134000646,0.5815305134000646,0.4138817640624653,0.4814207316583848
6,0.3969970939618986,0.3969970939618986,0.275982880964149,0.32057974100844766
7,0.5489183080400387,0.5489183080400387,0.44918212456758627,0.46322287687895614
8,0.5942543576500968,0.5942543576500968,0.5189467239121878,0.49131809155757455
9,0.5689154293092318,0.5689154293092318,0.5724504168991821,0.46527011881665425
average,0.5487742423152924,0.5487742423152924,0.48812110153703747,0.47624668104336737
std,0.060611851746859464,0.060611851746859464,0.08814489513091835,0.057648831095171486
