,acc,recall,precision,f1
0,0.983058973949177,0.983058973949177,0.9831682661080478,0.9830528434350706
1,0.9835384369506153,0.9835384369506153,0.9837187733652839,0.9835302540380164
2,0.9851366469554099,0.9851366469554099,0.9851855078169243,0.9851283174543036
3,0.984819431128156,0.984819431128156,0.9848890805645915,0.9848164381223036
4,0.9837034670075092,0.9837034670075092,0.9838726162743139,0.9837033140407685
5,0.9861000159769931,0.9861000159769931,0.9862209160876017,0.9860977533692384
6,0.9829046173510145,0.9829046173510145,0.9829827530291925,0.9828912023540152
7,0.9870607028753994,0.9870607028753994,0.9871403620231246,0.9870580091290504
8,0.9838658146964856,0.9838658146964856,0.9839628269944036,0.9838604764033929
9,0.9829073482428115,0.9829073482428115,0.9830552175814207,0.9829094611477359
average,0.9843095455133571,0.9843095455133571,0.9844196319844905,0.9843048069493895
std,0.0013557830807370364,0.0013557830807370364,0.0013395972628288092,0.0013567074548525527
