,acc,recall,precision,f1
0,0.5680038357040115,0.5680038357040115,0.5549303193156406,0.5594305555129255
1,0.5721591817164775,0.5721591817164775,0.5614280798304594,0.5648311363521548
2,0.5612913536838741,0.5612913536838741,0.5471039791750983,0.5512248550376517
3,0.563598593799936,0.563598593799936,0.55066448604026,0.5551161938038571
4,0.571337274324972,0.571337274324972,0.5607100807581887,0.5651642698747518
5,0.5716568141875699,0.5716568141875699,0.5590934584690943,0.5642907727391681
6,0.5671832561111999,0.5671832561111999,0.552655560676562,0.5580030487114181
7,0.5704472843450479,0.5704472843450479,0.5590518585654851,0.5636530159293334
8,0.5675718849840256,0.5675718849840256,0.5542482923559361,0.5591720476249482
9,0.5686900958466453,0.5686900958466453,0.5570741735113524,0.5600491762749189
average,0.5681939574703759,0.5681939574703759,0.5556960288698076,0.5600935071861128
std,0.0033634268255068327,0.0033634268255068327,0.004401896957078958,0.004330497880369998
