,acc,recall,precision,f1
0,0.9739144523655218,0.9739144523655218,0.9740335533732761,0.9738985658843169
1,0.9729423201555412,0.9729423201555412,0.9730003593244811,0.9729263917330504
2,0.972946703385712,0.972946703385712,0.9730392518607618,0.9729399007237818
3,0.9781305686052163,0.9781305686052163,0.978234881217309,0.9781316204681466
4,0.974566661266807,0.974566661266807,0.9747322355696759,0.9745502273260424
5,0.974566661266807,0.974566661266807,0.9746500052604778,0.9745686457289005
6,0.9800745180625303,0.9800745180625303,0.9801445481807519,0.9800740957417813
7,0.9794265349100924,0.9794265349100924,0.9795216345251616,0.9794317441366274
8,0.9768383543893748,0.9768383543893748,0.9770440026542317,0.9768346006156546
9,0.9742510121457489,0.9742510121457489,0.9743436232009619,0.9742522939521214
average,0.9757657786553351,0.9757657786553351,0.9758744095167089,0.9757608086310423
std,0.0025144744332939485,0.0025144744332939485,0.0025161513838376686,0.002519439537226097
