,acc,recall,precision,f1
0,0.6273623001130674,0.6273623001130674,0.6065030321140259,0.5695724149139604
1,0.6298449612403101,0.6298449612403101,0.5996610078402649,0.5733912691427326
2,0.6277454780361758,0.6277454780361758,0.5918258616492399,0.5667678029952098
3,0.6280684754521964,0.6280684754521964,0.6014532356443931,0.5603403003099582
4,0.627422480620155,0.627422480620155,0.6072645053939291,0.5577151598840816
5,0.6297432585176812,0.6297432585176812,0.6065160638160249,0.5657717604447839
6,0.6255449701275634,0.6255449701275634,0.5986070690176516,0.5577415827945924
7,0.6272198902163384,0.6272198902163384,0.5944214771060206,0.5633231785381096
8,0.6248587570621469,0.6248587570621469,0.5926737133324365,0.5674675500722802
9,0.6292171105730427,0.6292171105730427,0.5991410081087938,0.5577744456291992
average,0.6277027681958678,0.6277027681958678,0.5998066974022781,0.5639865464724908
std,0.0015605618594626543,0.0015605618594626543,0.0054190751896491,0.0052282475423823735
