,acc,recall,precision,f1
0,0.9848191214470284,0.9848191214470284,0.9849125869703876,0.9848186201856125
1,0.9838501291989664,0.9838501291989664,0.9839990028161818,0.9838396846571738
2,0.9870821895688681,0.9870821895688681,0.9871310900516137,0.9870736149655175
3,0.9828839011787502,0.9828839011787502,0.9830267469685303,0.9828741101486519
4,0.9848240232483048,0.9848240232483048,0.9850163487492275,0.9848289823944925
5,0.9859541491766225,0.9859541491766225,0.9860763410522214,0.9859524288077806
6,0.9845011301259283,0.9845011301259283,0.9845904114397337,0.9844942216231312
7,0.9817565385857281,0.9817565385857281,0.9818265748601869,0.9817481739320292
8,0.9835377663008392,0.9835377663008392,0.9837254942138682,0.9835396737579151
9,0.9830535829567463,0.9830535829567463,0.9831719696633427,0.9830507220426276
average,0.9842262531787782,0.9842262531787782,0.9843476566785293,0.9842220232514931
std,0.001477105763350343,0.001477105763350343,0.001468080985606587,0.0014779996039079965
