,acc,recall,precision,f1
0,0.6291778716865155,0.6291778716865155,0.6042691120699963,0.5528193354717598
1,0.6328275067230119,0.6328275067230119,0.6011560749789256,0.5796868884302037
2,0.6295976183616633,0.6295976183616633,0.5918416180008074,0.5677811782994293
3,0.630653990204552,0.630653990204552,0.5951077283611053,0.5691411139825161
4,0.6308815056654503,0.6308815056654503,0.5977154939483179,0.5727813771057515
5,0.6314576531592088,0.6314576531592088,0.5929286633739866,0.5657236652605767
6,0.6240637603226425,0.6240637603226425,0.6018468004952292,0.5518382908353235
7,0.6314930388862218,0.6314930388862218,0.5980285814849454,0.574704021003496
8,0.6285522273425499,0.6285522273425499,0.5833220228175888,0.5583941533731888
9,0.6317204301075269,0.6317204301075269,0.5986555201801625,0.5720142886782374
average,0.6300425602459343,0.6300425602459343,0.5964871615711066,0.5664884312440482
std,0.00233811947243531,0.00233811947243531,0.005737050540771705,0.008877569320142192
