,acc,recall,precision,f1
0,0.6957008150871025,0.6957008150871025,0.6983750459834738,0.6950516424183404
1,0.6957008150871025,0.6957008150871025,0.6973555575344837,0.6941426389205154
2,0.6894677960684034,0.6894677960684034,0.6927059098576506,0.6892379814882709
3,0.6917545541706616,0.6917545541706616,0.6939709645563136,0.6904590332888879
4,0.6988336795015179,0.6988336795015179,0.7012495882177758,0.6976121981172191
5,0.6919635724556639,0.6919635724556639,0.694538139638094,0.691057113013324
6,0.6929221920434574,0.6929221920434574,0.6957207461386041,0.6920157286715732
7,0.689776357827476,0.689776357827476,0.6923873342540201,0.6883291207687647
8,0.6908945686900958,0.6908945686900958,0.6942434282951494,0.6903690448529936
9,0.6884984025559105,0.6884984025559105,0.6906623938397181,0.687193192814416
average,0.6925512753487392,0.6925512753487392,0.6951209108315283,0.6915467694354305
std,0.003111334249741971,0.003111334249741971,0.002985273003446971,0.0030574398361917915
