,acc,recall,precision,f1
0,0.5670219638242894,0.5670219638242894,0.5900057836876749,0.5728721954615196
1,0.5655684754521964,0.5655684754521964,0.5888430722657617,0.5713494381533993
2,0.5698369126433069,0.5698369126433069,0.5941321290025955,0.5760908788196324
3,0.5640238979492976,0.5640238979492976,0.5879161115505379,0.5708132981814886
4,0.5670003228931224,0.5670003228931224,0.5880051679661468,0.5735708503268374
5,0.5703907006780755,0.5703907006780755,0.5922463837513221,0.5776209796024367
6,0.5697449144333225,0.5697449144333225,0.5903081385634994,0.5767341443411585
7,0.5647400710364869,0.5647400710364869,0.5882376525307512,0.5715096178409831
8,0.5587475790832795,0.5587475790832795,0.5834268415283996,0.5651050175453715
9,0.5755326016785023,0.5755326016785023,0.5985662777799775,0.581051697100077
average,0.567260743967188,0.567260743967188,0.5901687558626667,0.5736718117372904
std,0.004281606652740265,0.004281606652740265,0.0038895340474152367,0.004213876418444437
