,acc,recall,precision,f1
0,0.700097213220998,0.700097213220998,0.7008212783573881,0.6989280008966339
1,0.6963707064160726,0.6963707064160726,0.6968853262758311,0.695174314460129
2,0.7003077919974081,0.7003077919974081,0.7012463497548903,0.6995588045334984
3,0.699983800421189,0.699983800421189,0.7000867417489751,0.698724250235092
4,0.6926939899562612,0.6926939899562612,0.6925241386478309,0.6913129840148845
5,0.7009557751498461,0.7009557751498461,0.7010207506173552,0.69960696191213
6,0.6956099141422323,0.6956099141422323,0.6971497581499166,0.6952236979608086
7,0.6960959015065609,0.6960959015065609,0.6963863988873427,0.6950444830368475
8,0.6899902818270165,0.6899902818270165,0.6920234336463205,0.6898826098488327
9,0.6989473684210527,0.6989473684210527,0.6994483141784179,0.6979824418658023
average,0.6971052743058637,0.6971052743058637,0.6977592490264268,0.6961438548764659
std,0.0034581855235172633,0.0034581855235172633,0.00322132500006784,0.0032707968642786828
