,acc,recall,precision,f1
0,0.5915697674418605,0.5915697674418605,0.4720788304773177,0.5122423822299682
1,0.5636304909560723,0.5636304909560723,0.4649538009241065,0.49855231805441674
2,0.4652026481511384,0.4652026481511384,0.49134698311045855,0.4322526027915745
3,0.47828193121265944,0.47828193121265944,0.5391784054588682,0.4822215246379411
4,0.6030029060381014,0.6030029060381014,0.4517223538294697,0.5094300190905504
5,0.5894413948982886,0.5894413948982886,0.5089698812226322,0.5347030163555739
6,0.5293832741362609,0.5293832741362609,0.46491697935540205,0.4911622741732122
7,0.5971908298353245,0.5971908298353245,0.4547590762127263,0.5067145697524927
8,0.5198515171078115,0.5198515171078115,0.4560541072951784,0.45879223760733007
9,0.5506778566817302,0.5506778566817302,0.510524241278011,0.5066719740307065
average,0.5488232616459248,0.5488232616459248,0.48145046591641705,0.49327429187237665
std,0.04707484145992951,0.04707484145992951,0.02812036332852646,0.027864699155144376
