,acc,recall,precision,f1
0,0.9893410852713178,0.9893410852713178,0.9894009591536588,0.9893403196641208
1,0.9888565891472868,0.9888565891472868,0.9888947304564681,0.9888496749508499
2,0.9861133537865332,0.9861133537865332,0.9861309618446039,0.986108251169573
3,0.9859518811561441,0.9859518811561441,0.9860766698364094,0.9859477448583753
4,0.9885372941556345,0.9885372941556345,0.9885929106131297,0.9885381424653281
5,0.9877300613496932,0.9877300613496932,0.9877753823457661,0.9877308797108576
6,0.9890216338391993,0.9890216338391993,0.9890691066968058,0.9890241694007595
7,0.986922828543752,0.986922828543752,0.9870151725759493,0.9869175042658234
8,0.9883795997417689,0.9883795997417689,0.9884565137823461,0.9883798301720884
9,0.9885409941897999,0.9885409941897999,0.98859604107224,0.9885411034425416
average,0.9879395321181128,0.9879395321181128,0.9880008448377376,0.9879377620100318
std,0.0011511851444338406,0.0011511851444338406,0.0011416770388463415,0.001152820036608665
